"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\planool\planool_client\src\App.tsx", "TypeScript JSX", 3, 0, 0, 3
"c:\planool\planool_client\src\components\Editable\index.tsx", "TypeScript JSX", 58, 0, 22, 80
"c:\planool\planool_client\src\components\PlanViewer\PlanBody\PlanBlock\index.tsx", "TypeScript JSX", 5, 0, 1, 6
"c:\planool\planool_client\src\components\PlanViewer\PlanBody\index.tsx", "TypeScript JSX", 7, 0, 0, 7
"c:\planool\planool_client\src\components\PlanViewer\index.tsx", "TypeScript JSX", 14, 0, 3, 17
"c:\planool\planool_client\src\contexts\SocketControllerContext.tsx", "TypeScript JSX", 29, 0, 9, 38
"c:\planool\planool_client\src\controllers\PlanEditorController\index.tsx", "TypeScript JSX", 50, 0, 15, 65
"c:\planool\planool_client\src\controllers\SocketController\index.tsx", "TypeScript JSX", 2, 0, 1, 3
"c:\planool\planool_client\src\hooks\index.tsx", "TypeScript JSX", 6, 0, 2, 8
"Total", "-", 174, 0, 53, 227
